,id,first_name,last_name,party,district,state,total_votes,missed_votes,seniority,missed_votes_pct,votes_with_party_pct,State_Disct
70,C001061,Emanuel,Cleaver,D,5,MO,1212.0,107.0,14,8.83,94.57,MO-5
71,C001115,Michael,Cloud,R,27,TX,186.0,0.0,2,0.0,95.16,TX-27
72,C000537,James,Clyburn,D,6,SC,1212.0,92.0,26,7.59,95.36,SC-6
73,C001077,Mike,Coffman,R,6,CO,1212.0,9.0,10,0.74,92.27,CO-6
74,C001068,Steve,Cohen,D,9,TN,1212.0,7.0,12,0.58,93.69,TN-9
75,C001053,Tom,Cole,R,4,OK,1212.0,25.0,16,2.06,95.62,OK-4
76,C001093,Doug,Collins,R,9,GA,1212.0,44.0,6,3.63,96.06,GA-9
77,C001092,Chris,Collins,R,27,NY,1212.0,42.0,6,3.47,96.84,NY-27
78,C001108,James,Comer,R,1,KY,1212.0,7.0,4,0.58,94.77,KY-1
79,C001105,Barbara,Comstock,R,10,VA,1212.0,78.0,4,6.44,94.89,VA-10
80,C001062,K.,Conaway,R,11,TX,1212.0,2.0,14,0.17,94.63,TX-11
81,C001078,Gerald,Connolly,D,11,VA,1212.0,10.0,10,0.83,94.18,VA-11
82,C000714,John,Conyers,D,13,MI,659.0,34.0,54,5.16,94.4,MI-13
83,C001094,Paul,Cook,R,8,CA,1212.0,2.0,6,0.17,95.87,CA-8
84,C000754,Jim,Cooper,D,5,TN,1212.0,6.0,16,0.5,87.15,TN-5
85,C001110,J.,Correa,D,46,CA,1212.0,6.0,2,0.5,88.89,CA-46
86,C001059,Jim,Costa,D,16,CA,1212.0,179.0,14,14.77,82.19,CA-16
87,C001106,Ryan,Costello,R,6,PA,1212.0,49.0,4,4.04,87.1,PA-6
88,C001069,Joe,Courtney,D,2,CT,1212.0,17.0,12,1.4,94.31,CT-2
89,C001096,Kevin,Cramer,R,At-Large,ND,1212.0,91.0,6,7.51,97.23,ND-At-Large
90,C001087,Rick,Crawford,R,1,AR,1212.0,45.0,8,3.71,97.86,AR-1
91,C001111,Charlie,Crist,D,13,FL,1212.0,53.0,2,4.37,90.51,FL-13
92,C001038,Joseph,Crowley,D,14,NY,1212.0,117.0,20,9.65,95.16,NY-14
